time,V(n002),V(n003),V(n004)
2.716831896022129e-001,4.904030e-005,2.259525e-005,2.732759e+000
2.716977047774671e-001,3.903189e-005,2.157190e-005,2.790819e+000
2.717201790249584e-001,3.051226e-005,2.020621e-005,2.880716e+000
2.717575060015299e-001,2.345888e-005,1.838493e-005,3.030024e+000
2.718251782025169e-001,1.755500e-005,1.590820e-005,3.300713e+000
2.719076102596248e-001,1.388943e-005,1.358654e-005,3.630441e+000
2.719269633858498e-001,1.350696e-005,1.319887e-005,3.707854e+000
2.719557642829142e-001,1.302137e-005,1.266565e-005,3.823057e+000
2.719620836710693e-001,1.292988e-005,1.255698e-005,3.848335e+000
2.719684030592245e-001,1.284236e-005,1.245068e-005,3.873612e+000
2.719747224473796e-001,1.275883e-005,1.234678e-005,3.898890e+000
2.719810418355347e-001,1.267927e-005,1.224526e-005,3.924167e+000
2.719873612236898e-001,1.260369e-005,1.214612e-005,3.949445e+000
2.719936806118449e-001,1.253209e-005,1.204937e-005,3.974722e+000
2.720000000000000e-001,1.246447e-005,1.195500e-005,4.000000e+000
2.720002705621177e-001,1.246063e-005,1.153042e-005,4.000000e+000
2.720008116863530e-001,1.245445e-005,1.107211e-005,4.000000e+000
2.720014455221189e-001,1.244780e-005,1.093331e-005,4.000000e+000
2.720140933347984e-001,1.232447e-005,1.092681e-005,4.000000e+000
2.720267411474779e-001,1.221081e-005,1.092080e-005,4.000000e+000
2.720393889601574e-001,1.210682e-005,1.091527e-005,4.000000e+000
2.720520367728369e-001,1.201250e-005,1.091022e-005,4.000000e+000
2.720646845855164e-001,1.192786e-005,1.090566e-005,4.000000e+000
2.720773323981959e-001,1.185288e-005,1.090158e-005,4.000000e+000
2.720899802108754e-001,1.178757e-005,1.089798e-005,4.000000e+000
2.721785975485720e-001,1.143450e-005,1.087808e-005,4.000000e+000
2.723558322239651e-001,1.108312e-005,1.085758e-005,4.000000e+000
2.726147473014102e-001,1.089867e-005,1.084653e-005,4.000000e+000
2.729304877924065e-001,1.084967e-005,1.084354e-005,4.000000e+000
2.736559342209778e-001,1.084676e-005,1.084336e-005,4.000000e+000
2.743813806495493e-001,1.084451e-005,1.084322e-005,4.000000e+000
2.751068270781206e-001,1.084292e-005,1.084312e-005,4.000000e+000
2.758322735066920e-001,1.084199e-005,1.084306e-005,4.000000e+000
2.765577199352634e-001,1.084172e-005,1.084305e-005,4.000000e+000
2.772831663638348e-001,1.084211e-005,1.084307e-005,4.000000e+000
2.780086127924062e-001,1.084316e-005,1.084313e-005,4.000000e+000
3.131648627924042e-001,1.084316e-005,1.084313e-005,4.000000e+000
3.997109374999984e-001,1.084316e-005,1.084313e-005,4.000000e+000
4.000000000000000e-001,1.084316e-005,1.084313e-005,4.000000e+000
