second,Volt
-82.7500E-06,+3.6718592234E+00
-82.5000E-06,+3.6718592234E+00
-82.2500E-06,+3.6718592234E+00
-82.0000E-06,+3.6718592234E+00
-81.7500E-06,+3.6718592234E+00
-81.5000E-06,+3.6919597257E+00
-81.2500E-06,+3.7020099769E+00
-81.0000E-06,+3.6718592234E+00
-80.7500E-06,+3.6718592234E+00
-80.5000E-06,+3.6919597257E+00
-80.2500E-06,+3.7020099769E+00
-80.0000E-06,+3.6718592234E+00
-79.7500E-06,+3.6718592234E+00
-79.5000E-06,+3.6919597257E+00
-79.2500E-06,+3.7020099769E+00
-79.0000E-06,+3.7120602280E+00
-78.7500E-06,+3.6718592234E+00
-78.5000E-06,+3.6718592234E+00
-78.2500E-06,+3.6819094745E+00
-78.0000E-06,+3.7120602280E+00
-77.7500E-06,+3.6718592234E+00
-77.5000E-06,+3.6718592234E+00
-77.2500E-06,+3.6718592234E+00
-77.0000E-06,+3.6718592234E+00
-76.7500E-06,+3.6718592234E+00
-76.5000E-06,+3.6718592234E+00
-76.2500E-06,+3.7020099769E+00
-76.0000E-06,+3.6718592234E+00
-75.7500E-06,+3.2195979217E+00
-75.5000E-06,+2.6869346108E+00
-75.2500E-06,+2.2246230580E+00
-75.0000E-06,+1.8226130120E+00
-74.7500E-06,+1.5412059799E+00
-74.5000E-06,+1.2798994500E+00
-74.2500E-06,+1.0889446782E+00
-74.0000E-06,+897.9899064E-03
-73.7500E-06,+727.1356368E-03
-73.5000E-06,+616.5828742E-03
-73.2500E-06,+506.0301116E-03
-73.0000E-06,+415.5778512E-03
-72.7500E-06,+335.1758420E-03
-72.5000E-06,+274.8743351E-03
-72.2500E-06,+244.7235817E-03
-72.0000E-06,+174.3718237E-03
